identifier,main_name,w_type,sub_type,sub,special
splat_charger,スプラチャージャー,charger,Charger,Splash,BRush
splat_charger_wakame,スプラチャージャーワカメ,charger,Charger,Sprinkler,MegaPhone
HeroCharger,ヒーローチャージャーレプリカ,charger,Charger,Splash,BRush
splat_scope,スプラスコープ,charger,Scope,Splash,BRush
splat_scope_wakame,スプラスコープワカメ,charger,Scope,Sprinkler,MegaPhone
squic_alpha,スクイックリンα,charger,Charger,PSensor,Barrier
squic_beta,スクイックリンβ,charger,Charger,Trap,SShot
14_kou,14式竹筒銃・甲,charger,Charger,Sheild,MegaPhone
14_otsu,14式竹筒銃・乙,charger,Charger,Poison,SSensor
3k,リッター３K,charger,Charger,Quick,SSensor
k3Custom,リッター３K カスタム,charger,Charger,Beacon,Daiou
3kScope,３Kスコープ,charger,Scope,Quick,SSensor
3kScope_custom,３Kスコープカスタム,charger,Scope,Beacon,Daiou
pablo,パブロ,roller,Fude,Sprinkler,Tornado
pablo_hyu,パブロ・ヒュー,roller,Fude,Trap,Barrier
hokusai,ホクサイ,roller,Fude,Beacon,Daiou
hokusai_hyu,ホクサイ・ヒュー,roller,Fude,Splash,SShot
Heroroller,ヒーローローラーレプリカ,roller,Roller,Suction,MegaPhone
carbon,カーボンローラー,roller,Roller,Quick,SShot
dynamo,ダイナモローラー,roller,Roller,Sprinkler,SSensor
splatrol,スプラローラー,roller,Roller,Suction,MegaPhone
splatrol_col,スプラローラーコラボ,roller,Roller,Beacon,Daiou
dynamo_tesla,ダイナモローラーテスラ,roller,Roller,Splash,Tornado
carbon_deco,カーボンローラーデコ,roller,Roller,Chase,BRush
HotBlaster,ホットブラスター,shooter,Blaster,Poison,MegaPhone
HotBlaster_custom,ホットブラスターカスタム,shooter,Blaster,PSensor,Barrier
longBraster,ロングブラスター,shooter,Blaster,Sheild,Tornado
longBraster_custom,ロングブラスターカスタム,shooter,Blaster,Splash,Daiou
rapidBraster,ラピッドブラスター,shooter,Blaster,Trap,Barrier
rapidBraster_deco,ラピッドブラスターデコ,shooter,Blaster,Suction,BRush
RBlasterE,Rブラスターエリート,shooter,Blaster,Chase,SShot
EBlasterE_deco,Rブラスターエリートデコ,shooter,Blaster,Poison,MegaPhone
NovaBlaster,ノヴァブラスター,shooter,Blaster,Trap,SShot
NovaBlasterN,ノヴァブラスターネオ,shooter,Blaster,Splash,BRush
sharp,シャープマーカー,shooter,Shooter,Suction,BRush
sharp_neo,シャープマーカーネオ,shooter,Shooter,Quick,SShot
zap85,N-ZAP85,shooter,Shooter,Splash,SSensor
zap89,N-ZAP89,shooter,Shooter,Sprinkler,Tornado
L3reel,L3リールガン,shooter,Shooter,Poson,MegaPhone
wakaba,わかばシューター,shooter,Shooter,Splash,Barrier
momiji,もみじシューター,shooter,Shooter,Poison,SSensor
pro_mg,プロモデラーMG,shooter,Shooter,Chase,SShot
pro_rg,プロモデラーRG,shooter,Shooter,Trap,Tornado
L3reelD,L3リールガンD,shooter,Shooter,Quick,Daiou
H3reel,H3リールガン,shooter,Shooter,Suction,SSensor
H3reelD,H3リールガンD,shooter,Shooter,PSensor,SShot
Bold_Neo,ボールドマーカーネオ,shooter,Shooter,PSensor,Daiou
Bold,ボールドマーカー,shooter,Shooter,Beacon,MegaPhone
.52gal,.52ガロン,shooter,Shooter,Sheild,MegaPhone
.52gal_deco,.52ガロンデコ,shooter,Shooter,Chase,Tornado
.96gal,.96ガロン,shooter,Shooter,Sprinkler,SSensor
.96gal_deco,.96ガロンデコ,shooter,Shooter,Sheild,Daiou
splatshooter,スプラシューター,shooter,Shooter,Quick,BRush
splatshooter_col,スプラシューターコラボ,shooter,Shooter,Suction,SShot
HeroShooter,ヒーローシューターレプリカ,shooter,Shooter,Quick,BRush
OctShooter,オクタシューターレプリカ,shooter,Shooter,Suction,SShot
PrimeShooter,プライムシューター,shooter,Shooter,Splash,Tornado
PrimeShooter_col,プライムシューターコラボ,shooter,Shooter,PSensor,SShot
DualSweep,デュアルスイーパー,shooter,Shooter,Splash,SSensor
DualSweep_custom,デュアルスイーパーカスタム,shooter,Shooter,Beacon,MegaPhone
JetSweep,ジェットスイーパー,shooter,Shooter,Sheild ,Tornado
JetSweep_custom,ジェットスイーパーカスタム,shooter,Shooter,Quick,Daiou
bucket,バケットスロッシャー,slosher,Slosher,Quick,Tornado
bucket_deco,バケットスロッシャーデコ,slosher,Slosher,Sheild,Daiou
hissen,ヒッセン,slosher,Slosher,Poison,Barrier
hissen_hyu,ヒッセン・ヒュー,slosher,Slosher,Chace,SSensor
Screw,スクリュースロッシャー,slosher,Slosher,Splash,BRush
Screw_neo,スクリュースロッシャーネオ,slosher,Slosher,PSensor,SShot
burrel,バレルスピナー,spinner,Spinner,Sheild,Tornado
burrel_deco,バレルスピナーデコ,spinner,Spinner,PSensor,Daiou
splat_spinner,スプラスピナー,spinner,Spinner,Suction,SShot
splat_col,スプラスピナーコラボ,spinner,Spinner,Poison,Barrier
Hydorant,ハイドラント,spinner,Spinner,Splash,SSensor
Hydorant_custom,ハイドラントカスタム,spinner,Spinner,Sprinkler,Barrier
